4,0.7,0.7,8.6547,-2.73
5,1.02,1.02,8.6402,1.49
6,1.3,1.28,8.6247,3.86
7,1.5,1.44,8.6107,5.3
8,1.7,1.64,8.597,6.65
9,1.88,1.8,8.5817,7.6
10,2,1.96,8.5677,8.4
11,2.14,2.1,8.5332,9.01
12,2.26,2.2,8.5982,9.51
13,2.38,2.32,8.5227,9.8
